"","cleaned_company","cleaned_county","Uniqueid","date","total_number_of_cases"
"1","belleville_boot","st. francis",1,2020-05-26,35
"2","nebo poultry","yell, pope",146,2020-05-22,50
"3","nebo poultry","yell",2,2020-07-03,66
"4","best manufacturing","craighead",3,2020-05-26,12
"5","riceland_foods","craighead",4,2020-05-19,9
"6","riceland_foods","arkansas",5,2020-11-02,40
"7","riceland_foods","sebastian",6,2021-02-04,31
"8","pilgrims_pride","sevier",7,2020-11-16,283
"9","frito lay","craighead",8,2021-01-11,128
"10","saracen_casino_construction","jefferson",9,2020-05-22,56
"11","georges_poultry","benton",10,2020-07-20,278
"12","georges_poultry","washington",11,2020-09-17,290
"13","georges_poultry","washington",147,2021-01-07,94
"14","georges_poultry","independence",12,2020-09-17,42
"15","cargill poultry","washington",13,2020-09-14,224
"16","butterball","madison",14,2020-11-30,168
"17","tyson","yell",15,2021-01-25,166
"18","tyson","johnson",16,2021-03-15,297
"19","tyson","benton",17,2020-12-24,322
"20","tyson","benton",18,2021-01-07,126
"21","tyson","washington",19,2021-01-25,416
"22","tyson","polk",20,2020-07-03,29
"23","tyson","washington",21,2020-12-14,114
"24","tyson","crawford",22,2021-01-14,281
"25","tyson","carroll",23,2021-01-21,119
"26","tyson","carroll",24,2021-01-18,288
"27","tyson","washington",25,2020-08-07,64
"28","tyson","pope",26,2020-12-31,129
"29","tyson","howard",27,2021-02-04,124
"30","tyson","hempstead",28,2021-01-25,90
"31","tyson","jefferson",29,2020-11-12,81
"32","tyson","scott",30,2021-01-18,93
"33","tyson","washington",31,2021-02-08,75
"34","wayne farms","yell",32,2020-12-24,230
"35","simmons_foods","crawford",33,2020-08-10,54
"36","simmons_foods","benton",34,2020-08-17,84
"37","simmons_foods","benton",35,2020-12-14,116
"38","simmons_foods","sebastian",36,2020-11-05,46
"39","southeast poultry","benton",37,2020-07-06,73
"40","hino motors","crittenden",38,2020-06-14,16
"41","twin rivers foods","pope",39,2020-12-21,160
"42","twin rivers foods","sebastian",40,2020-12-17,47
"43","husqvarna","howard",41,2020-12-24,71
"44","consulate of mexico","pulaski",42,2020-06-08,5
