Uniqueid,V2,date,company_name,city,county,number_active_cases,number_recovered_cases,total_number_of_cases,address,industry,cleaned_address,cleaned_city,cleaned_county,cleaned_company,year,month,yearmon
7,20,5/26/20,Pilgrim's Pride Poultry,De Queen,Sevier,37,4,41,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,May,2020-05
8,7,5/19/20,Frito Lay,Jonesboro,Craighead,6,4,10,NA,NA,NA,jonesboro,craighead,frito lay,2020,May,2020-05
8,266,7/24/20,Frito Lay,Jonesboro,Craighead,5,18,23,NA,NA,NA,jonesboro,craighead,frito lay,2020,Jul,2020-07
8,303,7/31/20,Frito Lay,Jonesboro,Craighead,7,18,25,NA,NA,NA,jonesboro,craighead,frito lay,2020,Jul,2020-07
8,325,8/3/20,Frito Lay,Jonesboro,Craighead,7,23,30,NA,NA,NA,jonesboro,craighead,frito lay,2020,Aug,2020-08
8,379,8/13/20,Frito Lay,Jonesboro,Craighead,8,30,38,NA,NA,NA,jonesboro,craighead,frito lay,2020,Aug,2020-08
8,383,8/17/20,Frito Lay,Jonesboro,Craighead,6,34,40,NA,NA,NA,jonesboro,craighead,frito lay,2020,Aug,2020-08
8,524,11/2/20,Frito Lay,Jonesboro,Craighead,5,60,65,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Nov,2020-11
8,532,11/5/20,Frito Lay,Jonesboro,Craighead,6,61,67,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Nov,2020-11
8,538,11/9/20,Frito Lay,Jonesboro,Craighead,8,64,72,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Nov,2020-11
8,547,11/12/20,Frito Lay,Jonesboro,Craighead,7,68,75,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Nov,2020-11
8,553,11/16/20,Frito Lay,Jonesboro,Craighead,7,69,76,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Nov,2020-11
8,574,11/23/20,Frito Lay,Jonesboro,Craighead,5,76,81,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Nov,2020-11
8,604,12/7/20,Frito Lay,Jonesboro,Craighead,7,91,98,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Dec,2020-12
8,630,12/14/20,Frito Lay,Jonesboro,Craighead,8,95,103,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Dec,2020-12
8,646,12/17/20,Frito Lay,Jonesboro,Craighead,12,92,104,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Dec,2020-12
8,662,12/21/20,Frito Lay,Jonesboro,Craighead,8,107,115,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Dec,2020-12
8,680,12/24/20,Frito Lay,Jonesboro,Craighead,8,108,116,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Dec,2020-12
8,704,1/7/21,Frito Lay,Jonesboro,Craighead,9,117,126,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2021,Jan,2021-01
8,716,1/11/21,Frito Lay,Jonesboro,Craighead,7,121,128,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2021,Jan,2021-01
9,17,5/22/20,Saracen Casino Construction,Pine Bluff,Jefferson,5,51,56,NA,NA,NA,pine_bluff,jefferson,saracen_casino_construction,2020,May,2020-05
9,8,5/19/20,"Saracen Casino Construction Site, multiple contracted businesses",Pine Bluff,Jefferson,5,51,56,NA,NA,NA,pine_bluff,jefferson,saracen_casino_construction,2020,May,2020-05
10,25,5/29/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,86,6,92,NA,NA,NA,rogers,benton,georges_poultry,2020,May,2020-05
10,33,6/2/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,114,27,141,NA,NA,NA,rogers,benton,georges_poultry,2020,Jun,2020-06
10,46,6/5/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,118,48,166,NA,NA,NA,rogers,benton,georges_poultry,2020,Jun,2020-06
10,64,6/8/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,105,76,181,NA,NA,NA,rogers,benton,georges_poultry,2020,Jun,2020-06
10,87,6/14/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,63,161,224,NA,NA,NA,rogers,benton,georges_poultry,2020,Jun,2020-06
10,107,6/18/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,55,186,241,NA,NA,NA,rogers,benton,georges_poultry,2020,Jun,2020-06
