"","date","company_name","address","city","county","number_active_cases","number_recovered_cases","industry","total_business","new_total","total_new","total_number_of_cases","percent_closed","x12","latitude","longitude"
"1:282","2020-6-25","Tyson Dardanelle",NA,"Dardanelle","Yell","11.0","34",NA,NA,NA,14,45,75.55555556,NA,35.223968,-93.158723
"1:283","2020-6-25","Poultry (general) Yell County",NA,NA,"Yell","71.0","125",NA,NA,NA,62,196,63.7755102,NA,35.223141,-93.157953
"1:35","2020-6-2","Poultry (general)",NA,NA,"All Counties","412.0","228.0",NA,640,NA,225,NA,NA,NA,NA,NA
"1:36","2020-6-2","Ozark Mountain Poultry/Georges",NA,"Rogers","Benton","114.0","27.0",NA,141,NA,49,NA,NA,NA,NA,NA
"1:37","2020-6-2","Poultry (general)",NA,NA,"Benton","149.0","47.0",NA,196,NA,71,NA,NA,NA,NA,NA
"1:38","2020-6-2","Tyson Chick-N-Quick Rogers",NA,"Rogers","Benton","13.0","2.0",NA,15,NA,9,NA,NA,NA,NA,NA
"1:39","2020-6-2","Tyson Rogers Elm St",NA,"Rogers","Benton","7.0","0.0",NA,7,NA,7,NA,NA,NA,NA,NA
"1:40","2020-6-2","Poultry (general)",NA,NA,"Carroll","7.0","2.0",NA,9,NA,1,NA,NA,NA,NA,NA
"1:41","2020-6-2","Best Manufacturing",NA,"Jonesboro","Craighead","less than 5","unknown",NA,12,NA,0,NA,NA,NA,NA,NA
"1:42","2020-6-2","Simmons",NA,"Van Buren","Crawford","8.0","0.0",NA,8,NA,8,NA,NA,NA,NA,NA
"1:43","2020-6-2","Poultry (general)",NA,NA,"Howard","5.0","3.0",NA,8,NA,1,NA,NA,NA,NA,NA
"1:44","2020-6-2","Saracen Casino Construction",NA,"Pine Bluff","Jefferson","less than 5","unknown",NA,56,NA,0,NA,NA,NA,NA,NA
"1:45","2020-6-2","Tyson",NA,"Clarksville","Johnson","less than 5","9.0",NA,14,NA,0,NA,NA,NA,NA,NA
"1:46","2020-6-2","Butterball",NA,"Huntsville","Madison","30.0","9.0",NA,39,NA,29,NA,NA,NA,NA,NA
"1:47","2020-6-2","Poultry (general)",NA,NA,"Madison","15.0","3.0",NA,18,NA,18,NA,NA,NA,NA,NA
"1:48","2020-6-2","Hino Motors",NA,NA,"Marion","5.0","3.0",NA,8,NA,8,NA,NA,NA,NA,NA
"1:49","2020-6-2","Tyson",NA,"Broken Bow","Out of State","9.0","0.0",NA,9,NA,9,NA,NA,NA,NA,NA
"1:50","2020-6-2","Tyson Grannis",NA,"Grannis","Polk","7.0","2.0",NA,9,NA,9,NA,NA,NA,NA,NA
"1:51","2020-6-2","Poultry (general)",NA,NA,"Polk","6.0","3.0",NA,9,NA,9,NA,NA,NA,NA,NA
"1:52","2020-6-2","Poultry (general)",NA,NA,"Pope","13.0","15.0",NA,28,NA,4,NA,NA,NA,NA,NA
"1:53","2020-6-2","Poultry (general)",NA,NA,"Sebastian","6.0","1.0",NA,7,NA,7,NA,NA,NA,NA,NA
"1:54","2020-6-2","Pilgrim's Pride Poultry",NA,"DeQueen","Sevier","53.0","34.0",NA,87,NA,28,NA,NA,NA,NA,NA
"1:55","2020-6-2","Poultry (general)",NA,NA,"Sevier","64.0","33.0",NA,97,NA,38,NA,NA,NA,NA,NA
"1:56","2020-6-2","Belleville Boot",NA,"Forrest City","St. Francis","less than 5","unknown",NA,35,NA,0,NA,NA,NA,NA,NA
"1:57","2020-6-2","Cargill Poultry",NA,"Springdale","Washington","48.0","17.0",NA,65,NA,21,NA,NA,NA,NA,NA
"1:58","2020-6-2","Poultry (general)",NA,NA,"Washington","100.0","29.0",NA,129,NA,64,NA,NA,NA,NA,NA
"1:59","2020-6-2","George's Poultry",NA,"Springdale","Washington","14.0","1.0",NA,15,NA,8,NA,NA,NA,NA,NA
"1:60","2020-6-2","Tyson Berry St.",NA,"Springdale","Washington","7.0","8.0",NA,15,NA,15,NA,NA,NA,NA,NA
"1:61","2020-6-2","Nebo Poultry",NA,"Dardanelle","Yell","19.0","44.0",NA,63,NA,1,NA,NA,NA,NA,NA
"1:62","2020-6-2","Poultry (general)",NA,NA,"Yell","30.0","41.0",NA,71,NA,5,NA,NA,NA,NA,NA
"1:63","2020-6-2","Tyson",NA,"Dardanelle","Yell","9.0","5.0",NA,14,NA,5,NA,NA,NA,NA,NA
"1:64","2020-6-2","Wayne Farms",NA,"Danville","Yell","9.0","1.0",NA,10,NA,10,NA,NA,NA,NA,NA
"1:214","2020-6-18","Poultry (general) All Counties",NA,NA,"All Counties","595","1139",NA,NA,NA,276,1734,65.68627451,NA,NA,NA
"1:215","2020-6-18","Simmons Foods",NA,"Gentry","Benton","8","8",NA,NA,NA,16,16,50,NA,36.29686,-94.44025
"1:216","2020-6-18","Ozark Mountain Poultry/Georges",NA,"Rogers","Benton","55","186",NA,NA,NA,17,241,77.17842324,NA,36.34715,-94.12266
"1:217","2020-6-18","Southeast Poultry",NA,"Rogers","Benton","15","26",NA,NA,NA,8,41,63.41463415,NA,36.35182,-94.14769
"1:218","2020-6-18","Tyson Chick-N-Quick Rogers",NA,"Rogers","Benton","9","24",NA,NA,NA,2,33,72.72727273,NA,36.31862,-94.12382
