"","date","company_name","address","city","county","number_active_cases","number_recovered_cases","industry","total_business","new_total","total_new","total_number_of_cases","percent_closed","x12","latitude","longitude"
"1:122","2020-6-09","Hino Motors",NA,NA,"Marion","7","5",NA,NA,NA,-3,12,41.66666667,NA,NA,NA
"1:123","2020-6-09","Tyson Broken Bow",NA,"Broken Bow","Out of State","11","2",NA,NA,NA,1,13,15.38461538,NA,NA,NA
"1:124","2020-6-09","Poultry (general)",NA,NA,"Polk","6","6",NA,NA,NA,2,12,50,NA,NA,NA
"1:125","2020-6-09","Tyson Grannis",NA,"Grannis","Polk","6","6",NA,NA,NA,0,12,50,NA,NA,NA
"1:126","2020-6-09","Twin Rivers Foods",NA,"Atkins","Pope","6","5",NA,NA,NA,11,11,45.45454545,NA,NA,NA
"1:127","2020-6-09","Hixson Lumber",NA,"Russellville","Pope","6","1",NA,NA,NA,7,7,14.28571429,NA,NA,NA
"1:128","2020-6-09","Poultry (general)",NA,NA,"Pope","12","24",NA,NA,NA,5,36,66.66666667,NA,NA,NA
"1:129","2020-6-09","Park Hill Collection Warehouse",NA,"Little Rock","Pulaski","9","0",NA,NA,NA,9,9,0,NA,NA,NA
"1:130","2020-6-09","Consulate of Mexico",NA,"Little Rock","Pulaski","6","0",NA,NA,NA,1,6,0,NA,NA,NA
"1:131","2020-6-09","Poultry (general)",NA,NA,"Sebastian","11","5",NA,NA,NA,3,16,31.25,NA,NA,NA
"1:132","2020-6-09","Pilgrim's Pride DeQueen",NA,"DeQueen","Sevier","67","65",NA,NA,NA,21,132,49.24242424,NA,NA,NA
"1:133","2020-6-09","Poultry (general)",NA,NA,"Sevier","76","60",NA,NA,NA,18,136,44.11764706,NA,NA,NA
"1:134","2020-6-09","Belleville Boot",NA,"Forrest City","St. Francis","0","35",NA,NA,NA,0,35,100,NA,NA,NA
"1:135","2020-6-09","Poultry (general)",NA,NA,"Washington","169","61",NA,NA,NA,40,230,26.52173913,NA,NA,NA
"1:136","2020-6-09","Cargill Poultry Springdale",NA,"Springdale","Washington","45","44",NA,NA,NA,9,89,49.43820225,NA,NA,NA
"1:137","2020-6-09","George's Poultry Springdale",NA,"Springdale","Washington","26","9",NA,NA,NA,7,32,28.125,NA,NA,NA
"1:138","2020-6-09","Tyson Berry St.",NA,"Springdale","Washington","17","10",NA,NA,NA,5,27,37.03703704,NA,NA,NA
"1:139","2020-6-09","Tyson Mexican Original",NA,"Fayetteville","Washington","5","3",NA,NA,NA,0,8,37.5,NA,NA,NA
"1:140","2020-6-09","Poultry (general)",NA,NA,"Yell","35","54",NA,NA,NA,10,89,60.6741573,NA,NA,NA
"1:141","2020-6-09","Wayne Farms",NA,"Danville","Yell","17","3",NA,NA,NA,8,20,15,NA,NA,NA
"1:142","2020-6-09","Tyson Dardanelle",NA,"Dardanelle","Yell","12","8",NA,NA,NA,3,20,40,NA,NA,NA
"1:143","2020-6-09","Nebo Poultry",NA,"Dardanelle","Yell","8","55",NA,NA,NA,0,63,87.3015873,NA,NA,NA
"1:65","2020-6-05","Poultry (general)",NA,NA,"All Counties","505","303",NA,NA,NA,168,808,37.5,NA,NA,NA
"1:66","2020-6-05","Ozark Mountain Poultry/Georges",NA,"Rogers","Benton","118","48",NA,NA,NA,25,166,28.91566265,NA,NA,NA
"1:67","2020-6-05","Poultry (general)",NA,NA,"Benton","170","75",NA,NA,NA,49,245,30.6122449,NA,NA,NA
"1:68","2020-6-05","Tyson Chick-N-Quick Rogers",NA,"Rogers","Benton","17","3",NA,NA,NA,5,20,15,NA,NA,NA
"1:69","2020-6-05","Tyson Rogers Elm St",NA,"Rogers","Benton","14","1",NA,NA,NA,8,15,6.666666667,NA,NA,NA
"1:70","2020-6-05","Poultry (general)",NA,NA,"Carroll","6","5",NA,NA,NA,2,11,45.45454545,NA,NA,NA
"1:71","2020-6-05","Best Manufacturing",NA,"Jonesboro","Craighead","0","12",NA,NA,NA,0,12,100,NA,NA,NA
"1:72","2020-6-05","Simmons Foods",NA,"Van Buren","Crawford","12","0",NA,NA,NA,4,12,0,NA,NA,NA
"1:73","2020-6-05","Poultry (general)",NA,NA,"Howard","5","5",NA,NA,NA,2,10,50,NA,NA,NA
"1:74","2020-6-05","Saracen Casino Construction",NA,"Pine Bluff","Jefferson","0","56",NA,NA,NA,0,56,100,NA,NA,NA
"1:75","2020-6-05","Tyson Clarksville",NA,"Clarksville","Johnson","0","9",NA,NA,NA,0,14,64.28571429,NA,NA,NA
"1:76","2020-6-05","Butterball Huntsville",NA,"Huntsville","Madison","40","8",NA,NA,NA,9,48,16.66666667,NA,NA,NA
"1:77","2020-6-05","Poultry (general)",NA,NA,"Madison","17","3",NA,NA,NA,2,20,15,NA,NA,NA
"1:78","2020-6-05","Hino Motors",NA,NA,"Marion","11","4",NA,NA,NA,7,15,26.66666667,NA,NA,NA
"1:79","2020-6-05","Tyson Broken Bow",NA,"Broken Bow","Out of State","11","1",NA,NA,NA,3,12,8.333333333,NA,NA,NA
"1:80","2020-6-05","Tyson Grannis",NA,"Grannis","Polk","10","2",NA,NA,NA,3,12,16.66666667,NA,NA,NA
"1:81","2020-6-05","Poultry (general)",NA,NA,"Polk","7","3",NA,NA,NA,1,10,30,NA,NA,NA
"1:82","2020-6-05","Poultry (general)",NA,NA,"Pope","12","19",NA,NA,NA,3,31,61.29032258,NA,NA,NA
"1:83","2020-6-05","Poultry (general)",NA,NA,"Sebastian","11","2",NA,NA,NA,6,13,15.38461538,NA,NA,NA
"1:84","2020-6-05","Pilgrim's Pride DeQueen",NA,"DeQueen","Sevier","63","48",NA,NA,NA,24,111,43.24324324,NA,NA,NA
"1:85","2020-6-05","Poultry (general)",NA,NA,"Sevier","73","45",NA,NA,NA,21,118,38.13559322,NA,NA,NA
"1:86","2020-6-05","Belleville Boot",NA,"Forrest City","St. Francis","0","35",NA,NA,NA,0,35,100,NA,NA,NA
"1:87","2020-6-05","Cargill Poultry Springdale",NA,"Springdale","Washington","52","28",NA,NA,NA,15,80,35,NA,NA,NA
"1:88","2020-6-05","Poultry (general)",NA,NA,"Washington","145","45",NA,NA,NA,61,190,23.68421053,NA,NA,NA
"1:89","2020-6-05","George's Poultry Springdale",NA,"Springdale","Washington","21","4",NA,NA,NA,10,25,16,NA,NA,NA
"1:90","2020-6-05","Tyson Berry St.",NA,"Springdale","Washington","12","10",NA,NA,NA,7,22,45.45454545,NA,NA,NA
"1:91","2020-6-05","Nebo Poultry",NA,"Dardanelle","Yell","13","50",NA,NA,NA,0,63,79.36507937,NA,NA,NA
"1:92","2020-6-05","Poultry (general)",NA,NA,"Yell","30","49",NA,NA,NA,8,79,62.02531646,NA,NA,NA
"1:93","2020-6-05","Tyson Dardanelle",NA,"Dardanelle","Yell","11","6",NA,NA,NA,3,17,35.29411765,NA,NA,NA
"1:94","2020-6-05","Wayne Farms",NA,"Danville","Yell","11","1",NA,NA,NA,2,12,8.333333333,NA,NA,NA
"1:95","2020-6-05","Southeast Poultry",NA,"Rogers","Benton","5","4",NA,NA,NA,9,9,44.44444444,NA,NA,NA
"1:96","2020-6-05","Tyson Mexican Original",NA,"Fayetteville","Washington","5","3",NA,NA,NA,8,8,37.5,NA,NA,NA
"1:97","2020-6-05","Simmons Foods Gentry",NA,"Gentry","Benton","5","0",NA,NA,NA,5,5,0,NA,NA,NA
"1:98","2020-6-05","Simmons Foods Siloam Springs",NA,"Siloam Springs","Benton","5","0",NA,NA,NA,5,5,0,NA,NA,NA
"1:99","2020-6-05","Poultry (general)",NA,NA,"Crawford","6","0",NA,NA,NA,6,6,0,NA,NA,NA
"1:100","2020-6-05","Husqvarna",NA,"Nashville","Howard","6","1",NA,NA,NA,7,7,14.28571429,NA,NA,NA
"1:101","2020-6-05","Consulate of Mexico",NA,"Little Rock","Pulaski","5","0",NA,NA,NA,5,5,0,NA,NA,NA
"1:15","2020-5-29","Poultry (general)",NA,NA,"All Counties","286.0","129.0",NA,415,NA,NA,NA,NA,NA,NA,NA
"1:16","2020-5-29","Ozark Mountain Poultry/Georges",NA,"Rogers","Benton","86.0","6.0",NA,92,NA,44,NA,NA,NA,NA,NA
"1:17","2020-5-29","Poultry (general)",NA,NA,"Benton","105.0","20.0",NA,125,NA,56,NA,NA,NA,NA,NA
"1:18","2020-5-29","Tyson",NA,"Rogers","Benton","5.0","1.0",NA,6,NA,6,NA,NA,NA,NA,NA
"1:19","2020-5-29","Poultry (general)",NA,NA,"Carroll","7.0","1.0",NA,8,NA,8,NA,NA,NA,NA,NA
"1:20","2020-5-29","Best Manufacturing",NA,"Jonesboro","Craighead","less than 5","unknown",NA,12,NA,0,NA,NA,NA,NA,NA
"1:21","2020-5-29","Poultry (general)",NA,NA,"Howard","5.0","2.0",NA,7,NA,7,NA,NA,NA,NA,NA
"1:22","2020-5-29","Saracen Casino Construction",NA,"Pine Bluff","Jefferson","less than 5","unknown",NA,56,NA,0,NA,NA,NA,NA,NA
"1:23","2020-5-29","Tyson",NA,"Clarksville","Johnson","5.0","9.0",NA,14,NA,14,NA,NA,NA,NA,NA
"1:24","2020-5-29","Butterball",NA,"Huntsville","Madison","5.0","5.0",NA,10,NA,2,NA,NA,NA,NA,NA
"1:25","2020-5-29","Poultry (general)",NA,NA,"Pope","15.0","9.0",NA,24,NA,2,NA,NA,NA,NA,NA
"1:26","2020-5-29","Pilgrim's Pride Poultry",NA,"DeQueen","Sevier","46.0","13.0",NA,59,NA,18,NA,NA,NA,NA,NA
"1:27","2020-5-29","Poultry (general)",NA,NA,"Sevier","47.0","12.0",NA,59,NA,22,NA,NA,NA,NA,NA
"1:28","2020-5-29","Belleville Boot",NA,"Forrest City","St. Francis","less than 5","unknown",NA,35,NA,0,NA,NA,NA,NA,NA
"1:29","2020-5-29","Cargill Poultry",NA,"Springdale","Washington","43.0","1.0",NA,44,NA,19,NA,NA,NA,NA,NA
"1:30","2020-5-29","Poultry (general)",NA,NA,"Washington","51.0","14.0",NA,65,NA,21,NA,NA,NA,NA,NA
"1:31","2020-5-29","George's Poultry",NA,"Springdale","Washington","less than 5",NA,NA,7,NA,0,NA,NA,NA,NA,NA
"1:32","2020-5-29","Nebo Poultry",NA,"Dardanelle","Yell","39.0","23.0",NA,62,NA,-1,NA,NA,NA,NA,NA
"1:33","2020-5-29","Poultry (general)",NA,NA,"Yell","46.0","20.0",NA,66,NA,12,NA,NA,NA,NA,NA
"1:34","2020-5-29","Tyson",NA,"Dardanelle","Yell","7.0","2.0",NA,9,NA,9,NA,NA,NA,NA,NA
"1:1","2020-5-25","Ozark Mountain Poultry/Georges",NA,"Rogers","Benton","46.0","2",NA,48,31,NA,NA,NA,NA,NA,NA
"1:2","2020-5-25","Poultry (general)",NA,NA,"Benton","57.0","12",NA,69,35,NA,NA,NA,NA,NA,NA
"1:3","2020-5-25","Best Manufacturing",NA,"Jonesboro","Craighead","6.0","6",NA,12,0,NA,NA,NA,NA,NA,NA
"1:4","2020-5-25","Saracen Casino Construction",NA,"Pine Bluff","Jefferson","less than 5","51",NA,56,0,NA,NA,NA,NA,NA,NA
"1:5","2020-5-25","Butterball",NA,"Huntsville","Madison","7.0","1",NA,8,1,NA,NA,NA,NA,NA,NA
"1:6","2020-5-25","Poultry (general)",NA,NA,"Pope","18.0","4",NA,22,5,NA,NA,NA,NA,NA,NA
"1:7","2020-5-25","Pilgrim's Pride Poultry",NA,"DeQueen","Sevier","37.0","4",NA,41,21,NA,NA,NA,NA,NA,NA
"1:8","2020-5-25","Poultry (general)",NA,NA,"Sevier","34.0","3",NA,37,18,NA,NA,NA,NA,NA,NA
"1:9","2020-5-25","Belleville Boot",NA,"Forrest City","St. Francis","6.0","29",NA,35,0,NA,NA,NA,NA,NA,NA
"1:10","2020-5-25","Cargill Poultry",NA,"Springdale","Washington","24.0","1",NA,25,15,NA,NA,NA,NA,NA,NA
"1:11","2020-5-25","Poultry (general)",NA,NA,"Washington","36.0","8",NA,44,14,NA,NA,NA,NA,NA,NA
"1:12","2020-5-25","George's Poultry",NA,"Springdale","Washington","less than 5",NA,NA,7,0,NA,NA,NA,NA,NA,NA
"1:13","2020-5-25","Nebo Poultry",NA,"Dardanelle","Yell","57.0","6",NA,63,13,NA,NA,NA,NA,NA,NA
"1:14","2020-5-25","Poultry (general)",NA,NA,"Yell","53.0","1",NA,54,NA,NA,NA,NA,NA,NA,NA
"3:98","2020-12-31","ConAgra",NA,"Russellville","Pope","8","285","Manufacturing",NA,NA,NA,293,NA,NA,NA,NA
"3:99","2020-12-31","Tyson's Chick-N-Quick","Olrich St.","Rogers","Benton","8","112","Manufacturing",NA,NA,NA,120,NA,NA,NA,NA
"3:100","2020-12-31","Tyson Corporate","Don Tyson Pkwy","Springdale","Washington","7","44","Administrative and Support and Waste Management and
Remediation Services",NA,NA,NA,51,NA,NA,NA,NA
"3:101","2020-12-31","Tyson","Berry St.","Springdale","Washington","6","397","Manufacturing",NA,NA,NA,403,NA,NA,NA,NA
"3:102","2020-12-31","Tyson",NA,"Green Forest","Carroll","5","271","Manufacturing",NA,NA,NA,276,NA,NA,NA,NA
"3:103","2020-12-31","Tyson","Tyler Rd.","Russellville","Pope","5","124","Manufacturing",NA,NA,NA,129,NA,NA,NA,NA
"3:104","2020-12-28","Tyson's Chick-N-Quick","Olrich St.","Rogers","Benton","9","103","Manufacturing",NA,NA,NA,112,NA,NA,NA,NA
"3:105","2020-12-28","Shelby Group International Inc.",NA,"Glenwood","Pike","6","5","Manufacturing",NA,NA,NA,11,NA,NA,NA,NA
"3:106","2020-12-28","ConAgra",NA,"Russellville","Pope","5","276","Manufacturing",NA,NA,NA,281,NA,NA,NA,NA
"3:107","2020-12-28","Stephens Inc.",NA,"Little Rock","Pulaski","5","7","Finance and Insurance",NA,NA,NA,12,NA,NA,NA,NA
"3:108","2020-12-24","ConAgra",NA,"Russellville","Pope","15","265","Manufacturing",NA,NA,NA,280,NA,NA,NA,NA
"3:109","2020-12-24","Domtar Paper Co.",NA,"Ashdown","Little River","11","30","Manufacturing",NA,NA,NA,41,NA,NA,NA,NA
"3:110","2020-12-24","Roehm America/Evonik",NA,"Osceola","Mississippi","11","2","Manufacturing",NA,NA,NA,13,NA,NA,NA,NA
"3:111","2020-12-24","Tyson of Rogers","Elm St.","Rogers","Benton","9","313","Manufacturing",NA,NA,NA,322,NA,NA,NA,NA
"3:112","2020-12-24","Wayne Farms",NA,"Danville","Yell","9","221","Manufacturing",NA,NA,NA,230,NA,NA,NA,NA
"3:113","2020-12-24","Tyson",NA,"Dardanelle","Yell","9","127","Manufacturing",NA,NA,NA,136,NA,NA,NA,NA
"3:114","2020-12-24","Tyson's Chick-N-Quick","Olrich St.","Olrich St","Rogers, Benton","9","96","Manufacturing",NA,NA,NA,105,NA,NA,NA,NA
"3:115","2020-12-24","Husqvarna",NA,"Nashville","Howard","9","62","Manufacturing",NA,NA,NA,71,NA,NA,NA,NA
"3:116","2020-12-24","Tyson","Tyler Rd.","Russellville","Pope","8","112","Manufacturing",NA,NA,NA,120,NA,NA,NA,NA
"3:117","2020-12-24","Frito Lay",NA,"Jonesboro","Craighead","8","108","Manufacturing",NA,NA,NA,116,NA,NA,NA,NA
"3:118","2020-12-24","Nice Pak",NA,"Jonesboro","Craighead","7","42","Manufacturing",NA,NA,NA,49,NA,NA,NA,NA
"3:119","2020-12-24","Arkansas Nuclear One",NA,"Russellville","Pope","7","31","Utilities",NA,NA,NA,38,NA,NA,NA,NA
"3:120","2020-12-24","McKee Foods",NA,"Gentry","Benton","7","29","Manufacturing",NA,NA,NA,36,NA,NA,NA,NA
"3:121","2020-12-24","Peco",NA,"Pocahontas","Randolph","6","104","Manufacturing",NA,NA,NA,110,NA,NA,NA,NA
"3:122","2020-12-24","Shippers Products",NA,"Fordyce","Dallas","6","7","Manufacturing",NA,NA,NA,13,NA,NA,NA,NA
"3:123","2020-12-24","La-Z-Boy Furniture",NA,"Siloam Springs","Benton","6","1","Retail Trade",NA,NA,NA,7,NA,NA,NA,NA
"3:124","2020-12-24","Tyson",NA,"Green Forest","Carroll","5","259","Manufacturing",NA,NA,NA,264,NA,NA,NA,NA
"3:125","2020-12-24","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","5","104","Manufacturing",NA,NA,NA,109,NA,NA,NA,NA
"3:126","2020-12-24","Tyson",NA,"Berryville","Carroll","5","88","Manufacturing",NA,NA,NA,93,NA,NA,NA,NA
"3:127","2020-12-21","ConAgra",NA,"Russellville","Pope","9","259","Manufacturing",NA,NA,NA,268,NA,NA,NA,NA
"3:128","2020-12-21","Frito Lay",NA,"Jonesboro","Craighead","8","107","Manufacturing",NA,NA,NA,115,NA,NA,NA,NA
"3:129","2020-12-21","Tyson",NA,"Berryville","Carroll","7","79","Manufacturing",NA,NA,NA,86,NA,NA,NA,NA
"3:130","2020-12-21","Domtar Paper Co.",NA,"Ash Down","Little River","6","26","Manufacturing",NA,NA,NA,32,NA,NA,NA,NA
"3:131","2020-12-21","Husqvarna",NA,"Nashville","Howard","6","62","Manufacturing",NA,NA,NA,68,NA,NA,NA,NA
"3:132","2020-12-21","Roehm America",NA,"Osceola","Mississippi","6","1","Manufacturing",NA,NA,NA,7,NA,NA,NA,NA
"3:133","2020-12-21","Twin Rivers Foods",NA,"Atkins","Pope","6","154","Manufacturing",NA,NA,NA,160,NA,NA,NA,NA
"3:134","2020-12-21","APAC-Central",NA,"Fayetteville","Washington","5","16","Manufacturing",NA,NA,NA,21,NA,NA,NA,NA
"3:135","2020-12-21","McKee Foods",NA,"Gentry","Benton","5","24","Manufacturing",NA,NA,NA,29,NA,NA,NA,NA
"3:136","2020-12-21","Tyson",NA,"Dardanelle","Yell","5","125","Manufacturing",NA,NA,NA,130,NA,NA,NA,NA
"3:137","2020-12-17","Frito Lay",NA,"Jonesboro","Craighead","12","92","Manufacturing",NA,NA,NA,104,NA,NA,NA,NA
"3:138","2020-12-17","ConAgra",NA,"Russellville","Pope","9","240","Manufacturing",NA,NA,NA,249,NA,NA,NA,NA
"3:139","2020-12-17","Tyson",NA,"Green Forest","Carroll","9","221","Manufacturing",NA,NA,NA,230,NA,NA,NA,NA
"3:140","2020-12-17","Tyson",NA,"Dardanelle","Yell","7","115","Manufacturing",NA,NA,NA,122,NA,NA,NA,NA
"3:141","2020-12-17","Tyson",NA,"Berryville","Carroll","7","59","Manufacturing",NA,NA,NA,66,NA,NA,NA,NA
"3:142","2020-12-17","Twin Rivers Foods",NA,"Ft Smith","Sebastian","7","40","Manufacturing",NA,NA,NA,47,NA,NA,NA,NA
"3:143","2020-12-17","Spirit Fitness",NA,"Jonesboro","Craighead","7","11","Manufacturing",NA,NA,NA,18,NA,NA,NA,NA
"3:144","2020-12-17","Tyson",NA,"Clarksville","Johnson","6","241","Manufacturing",NA,NA,NA,247,NA,NA,NA,NA
"3:145","2020-12-17","Husqvarna",NA,"Nashville","Howard","6","57","Manufacturing",NA,NA,NA,63,NA,NA,NA,NA
"3:146","2020-12-17","Unilever",NA,"Jonesboro","Craighead","6","23","Manufacturing",NA,NA,NA,29,NA,NA,NA,NA
"3:147","2020-12-17","Tyson","Tyler Rd.","Russellville","Pope","5","97","Manufacturing",NA,NA,NA,102,NA,NA,NA,NA
"3:148","2020-12-17","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","5","85","Manufacturing",NA,NA,NA,90,NA,NA,NA,NA
"3:149","2020-12-17","American Greetings Co.",NA,"Osceola","Mississippi","5","40","Manufacturing",NA,NA,NA,45,NA,NA,NA,NA
"3:150","2020-12-17","Nice Pak",NA,"Jonesboro","Craighead","5","35","Manufacturing",NA,NA,NA,40,NA,NA,NA,NA
"3:151","2020-12-17","APAC-Central",NA,"Fayetteville","Washington","5","13","Manufacturing",NA,NA,NA,18,NA,NA,NA,NA
"3:152","2020-12-14","Tyson",NA,"Green Forest","Carroll","27","220","Manufacturing",NA,NA,NA,247,NA,NA,NA,NA
"3:153","2020-12-14","ConAgra",NA,"Russellville","Pope","19","237","Manufacturing",NA,NA,NA,256,NA,NA,NA,NA
"3:154","2020-12-14","Tyson",NA,"Dardanelle","Yell","13","109","Manufacturing",NA,NA,NA,122,NA,NA,NA,NA
"3:155","2020-12-14","Tyson",NA,"Clarksville","Johnson","12","234","Manufacturing",NA,NA,NA,246,NA,NA,NA,NA
"3:156","2020-12-14","ABB",NA,"Ft Smith","Sebastian","10","65","Manufacturing",NA,NA,NA,75,NA,NA,NA,NA
"3:157","2020-12-14","Tyson","Plant St.","Waldron","Scott","10","46","Manufacturing",NA,NA,NA,56,NA,NA,NA,NA
"3:158","2020-12-14","Spirit Fitness",NA,"Jonesboro","Craighead","10","3","Manufacturing",NA,NA,NA,13,NA,NA,NA,NA
"3:159","2020-12-14","Tyson's Mexican Original",NA,"Fayetteville","Washington","9","105","Manufacturing",NA,NA,NA,114,NA,NA,NA,NA
"3:160","2020-12-14","Frito Lay",NA,"Jonesboro","Craighead","8","95","Manufacturing",NA,NA,NA,103,NA,NA,NA,NA
"3:161","2020-12-14","WeatherBarr Windows & Doors",NA,"Ft Smith","Sebastian","8","9","Manufacturing",NA,NA,NA,17,NA,NA,NA,NA
"3:162","2020-12-14","Tyson","Tyler Rd.","Russellville","Pope","7","100","Manufacturing",NA,NA,NA,107,NA,NA,NA,NA
"3:163","2020-12-14","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","7","97","Manufacturing",NA,NA,NA,104,NA,NA,NA,NA
"3:164","2020-12-14","DENSO Manufacturing",NA,"Osceola","Mississippi","7","60","Manufacturing",NA,NA,NA,67,NA,NA,NA,NA
"3:165","2020-12-14","Simmons Foods",NA,"Siloam Springs","Benton","6","110","Manufacturing",NA,NA,NA,116,NA,NA,NA,NA
"3:166","2020-12-14","Tyson","275 Hempstead 278","Hope","Hempstead","6","59","Manufacturing",NA,NA,NA,65,NA,NA,NA,NA
"3:167","2020-12-14","American Greetings Co.",NA,"Osceola","Mississippi","6","37","Manufacturing",NA,NA,NA,43,NA,NA,NA,NA
"3:168","2020-12-14","Tyson",NA,"Van Buren","Crawford","5","262","Manufacturing",NA,NA,NA,267,NA,NA,NA,NA
"3:169","2020-12-14","Wayne Farms",NA,"Danville","Yell","5","211","Manufacturing",NA,NA,NA,216,NA,NA,NA,NA
"3:170","2020-12-14","Peco",NA,"Pocahontas","Randolph","5","92","Manufacturing",NA,NA,NA,97,NA,NA,NA,NA
"3:171","2020-12-14","Husqvarna",NA,"Nashville","Howard","5","56","Manufacturing",NA,NA,NA,61,NA,NA,NA,NA
"3:172","2020-12-14","Utility Trailer Manufacturing Co.",NA,"Paragould","Greene","5","34","Manufacturing",NA,NA,NA,39,NA,NA,NA,NA
"3:173","2020-12-14","Dassault Falcon Jet LLC",NA,"Little Rock","Pulaski","5","33","Manufacturing",NA,NA,NA,38,NA,NA,NA,NA
"3:174","2020-12-14","Tyson Corporate","Don Tyson Pkwy","Springdale","Washington","5","31","Manufacturing",NA,NA,NA,36,NA,NA,NA,NA
"3:175","2020-12-14","Duke Custom Cabinets Inc.",NA,"Roland","Pulaski","5","1","Manufacturing",NA,NA,NA,6,NA,NA,NA,NA
"3:176","2020-12-10","Tyson",NA,"Green Forest","Carroll","20","208","Manufacturing",NA,NA,NA,228,NA,NA,NA,NA
"3:177","2020-12-10","ConAgra",NA,"Russellville","Pope","13","230","Manufacturing",NA,NA,NA,243,NA,NA,NA,NA
"3:178","2020-12-10","Tyson",NA,"Clarksville","Johnson","11","231","Manufacturing",NA,NA,NA,242,NA,NA,NA,NA
"3:179","2020-12-10","ABB",NA,"Ft Smith","Sebastian","9","63","Manufacturing",NA,NA,NA,72,NA,NA,NA,NA
"3:180","2020-12-10","DENSO Manufacturing",NA,"Osceola","Mississippi","7","60","Manufacturing",NA,NA,NA,67,NA,NA,NA,NA
"3:181","2020-12-10","Quality Voices",NA,"Jonesboro","Craighead","7","1","Other Services",NA,NA,NA,8,NA,NA,NA,NA
"3:182","2020-12-10","Tyson",NA,"Dardanelle","Yell","7","105","Manufacturing",NA,NA,NA,112,NA,NA,NA,NA
"3:183","2020-12-10","Tyson's Mexican Original",NA,"Fayetteville","Washington","7","102","Manufacturing",NA,NA,NA,109,NA,NA,NA,NA
"3:184","2020-12-10","Peco",NA,"Pocahontas","Randolph","6","90","Manufacturing",NA,NA,NA,96,NA,NA,NA,NA
"3:185","2020-12-10","American Greetings Co.",NA,"Osceola","Mississippi","5","37","Manufacturing",NA,NA,NA,42,NA,NA,NA,NA
"3:186","2020-12-10","PotlatchDeltic",NA,"Warren","Bradley","5","12","Manufacturing",NA,NA,NA,17,NA,NA,NA,NA
"3:187","2020-12-10","Tyson","Plant St.","Waldron","Scott","5","45","Manufacturing",NA,NA,NA,50,NA,NA,NA,NA
"3:188","2020-12-07","Tyson",NA,"Green Forest","Carroll","11","204","Manufacturing",NA,NA,NA,215,NA,NA,NA,NA
"3:189","2020-12-07","Tyson","Plant St.","Waldron","Scott","11","39","Manufacturing",NA,NA,NA,50,NA,NA,NA,NA
"3:190","2020-12-07","ConAgra",NA,"Russellville","Pope","10","229","Manufacturing",NA,NA,NA,239,NA,NA,NA,NA
"3:191","2020-12-07","ABB",NA,"Ft Smith","Sebastian","10","60","Manufacturing",NA,NA,NA,70,NA,NA,NA,NA
"3:192","2020-12-07","Tyson",NA,"Van Buren","Crawford","8","255","Manufacturing",NA,NA,NA,263,NA,NA,NA,NA
"3:193","2020-12-07","Tyson of Rogers","Elm St.","Rogers","Benton","7","301","Manufacturing",NA,NA,NA,308,NA,NA,NA,NA
"3:194","2020-12-07","Tyson",NA,"Clarksville","Johnson","7","230","Manufacturing",NA,NA,NA,237,NA,NA,NA,NA
"3:195","2020-12-07","Tyson's Mexican Original",NA,"Fayetteville","Washington","7","99","Manufacturing",NA,NA,NA,106,NA,NA,NA,NA
"3:196","2020-12-07","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","7","92","Manufacturing",NA,NA,NA,99,NA,NA,NA,NA
"3:197","2020-12-07","Frito Lay",NA,"Jonesboro","Craighead","7","91","Manufacturing",NA,NA,NA,98,NA,NA,NA,NA
"3:198","2020-12-07","Tyson","Tyler Rd.","Russellville","Pope","6","95","Manufacturing",NA,NA,NA,101,NA,NA,NA,NA
"3:199","2020-12-07","Lockheed Martin",NA,"Camden","Ouachita","6","30","Manufacturing",NA,NA,NA,36,NA,NA,NA,NA
"3:200","2020-12-07","Tyson",NA,"Dardanelle","Yell","5","105","Manufacturing",NA,NA,NA,110,NA,NA,NA,NA
"3:201","2020-12-07","Wilson Combat Scattergun Tech",NA,"Berryville","Carroll","5","12","Manufacturing",NA,NA,NA,17,NA,NA,NA,NA
"3:202","2020-12-07","PotlatchDeltic",NA,"Warren","Bradley","5","11","Manufacturing",NA,NA,NA,16,NA,NA,NA,NA
"3:203","2020-12-03","Tyson",NA,"Green Forest","Carroll","7","199","Manufacturing",NA,NA,NA,206,NA,NA,NA,NA
"3:204","2020-12-03","ConAgra",NA,"Russellville","Pope","6","231","Manufacturing",NA,NA,NA,237,NA,NA,NA,NA
"3:205","2020-12-03","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","6","90","Manufacturing",NA,NA,NA,96,NA,NA,NA,NA
"3:206","2020-12-03","Tenneco Inc.",NA,"Paragould","Greene","6","34","Manufacturing",NA,NA,NA,40,NA,NA,NA,NA
"3:207","2020-12-03","Tyson","Plant St.","Waldron","Scott","5","32","Manufacturing",NA,NA,NA,37,NA,NA,NA,NA
"3:208","2020-11-30","ConAgra",NA,"Russellville","Pope","10","219","Manufacturing",NA,NA,NA,229,NA,NA,NA,NA
"3:209","2020-11-30","Tyson",NA,"Green Forest","Carroll","10","183","Manufacturing",NA,NA,NA,193,NA,NA,NA,NA
