"","yearmon","date","cleaned_company","cleaned_address","cleaned_city","cleaned_county","total_number_of_cases"
"86","2020-05",2020-05-29,"pilgrims_pride",NA,"de queen","sevier",59
"87","2020-06",2020-06-25,"pilgrims_pride",NA,"de queen","sevier",210
"88","2020-07",2020-07-31,"pilgrims_pride",NA,"de queen","sevier",255
"89","2020-08",2020-08-13,"pilgrims_pride",NA,"de queen","sevier",259
"90","2020-11",2020-11-16,"pilgrims_pride",NA,"de queen","sevier",283
"91","2020-12",2020-12-10,"potlatchdeltic",NA,"warren","bradley",17
"92","2020-07",2020-07-24,"producers rice mill inc",NA,"stuttgart","arkansas",12
"93","2021-02",2021-02-25,"rheem manufacturing",NA,"fort_smith","sebastian",72
"94","2020-11",2020-11-02,"riceland foods",NA,"stuttgart","arkansas",40
"95","2020-11",2020-11-26,"rineco chemical industries",NA,"haskell","saline",12
"96","2020-10",2020-10-29,"roach manufacturing",NA,"trumann","poinsett",17
"97","2020-11",2020-11-05,"roach manufacturing",NA,"trumann","poinsett",19
"98","2020-05",2020-05-22,"saracen_casino_construction",NA,"pine_bluff","jefferson",56
"99","2020-12",2020-12-28,"shelby group international inc.",NA,"glenwood","pike",11
"100","2020-12",2020-12-24,"shippers products",NA,"fordyce","dallas",13
"101","2020-11",2020-11-19,"simmons_foods",NA,"siloam springs","benton",104
"102","2020-12",2020-12-03,"tenneco inc.",NA,"paragould","greene",40
"103","2020-08",2020-08-31,"triumph_airborne_structures",NA,"hot_springs","garland",15
"104","2020-09",2020-09-14,"triumph_airborne_structures",NA,"hot_springs","garland",20
"105","2020-06",2020-06-25,"twin rivers foods",NA,"atkins","pope",33
"106","2021-02",2021-02-25,"twin rivers paper",NA,"pine_bluff","jefferson",22
"107","2020-08",2020-08-17,"tyson","275 hempstead 278","hope","hempstead",32
"108","2020-12",2020-12-14,"tyson","275 hempstead 278","hope","hempstead",65
"109","2021-01",2021-01-25,"tyson","275 hempstead 278","hope","hempstead",90
"110","2020-06",2020-06-25,"tyson","berry st","springdale","washington",283
"111","2020-07",2020-07-31,"tyson","berry st","springdale","washington",344
"112","2020-08",2020-08-17,"tyson","berry st","springdale","washington",347
"113","2020-09",2020-09-17,"tyson","berry st","springdale","washington",365
"114","2020-10",2020-10-29,"tyson","berry st","springdale","washington",382
"115","2020-12",2020-12-31,"tyson","berry st","springdale","washington",403
"116","2021-01",2021-01-25,"tyson","berry st","springdale","washington",416
"117","2021-02",2021-02-08,"tyson","don tyson pkwy","springdale","washington",75
"118","2020-08",2020-08-03,"tyson","elm st","rogers","benton",269
"119","2020-12",2020-12-24,"tyson","elm st","rogers","benton",322
"120","2021-01",2021-01-07,"tyson","olrich st","rogers","benton",126
"121","2020-10",2020-10-29,"tyson","plant st","waldron","scott",13
"122","2020-11",2020-11-30,"tyson","plant st","waldron","scott",36
"123","2020-12",2020-12-14,"tyson","plant st","waldron","scott",56
"124","2021-01",2021-01-18,"tyson","plant st","waldron","scott",93
"125","2020-07",2020-07-31,"tyson",NA,"ashdown","howard",39
