"","yearmon","cleaned_county","positive2","New_Cases"
"200","2020-06","montgomery",4,2
"201","2020-06","nevada",101,6
"202","2020-06","newton",5,1
"203","2020-06","ouachita",21,2
"204","2020-06","perry",29,2
"205","2020-06","phillips",142,2
"206","2020-06","pike",8,1
"207","2020-06","poinsett",58,1
"208","2020-06","polk",74,2
"209","2020-06","pope",433,17
"210","2020-06","prairie",20,1
"211","2020-06","pulaski",2036,120
"212","2020-06","randolph",48,1
"213","2020-06","saline",275,14
"214","2020-06","scott",11,1
"215","2020-06","searcy",7,0
"216","2020-06","sebastian",468,11
"217","2020-06","sevier",700,7
"218","2020-06","sharp",53,1
"219","2020-06","st.francis",812,1
"220","2020-06","stone",14,1
"221","2020-06","union",248,1
"222","2020-06","van_buren",35,1
"223","2020-06","washington",3578,161
"224","2020-06","white",86,1
"225","2020-06","woodruff",6,2
"226","2020-06","yell",616,25
"227","2020-07","arkansas_county",189,6
"228","2020-07","ashley",230,16
"229","2020-07","baxter",62,1
"230","2020-07","benton",4458,50
"231","2020-07","boone",157,15
"232","2020-07","bradley",138,4
"233","2020-07","calhoun",12,2
"234","2020-07","carroll",331,3
"235","2020-07","chicot",506,8
"236","2020-07","clark",153,5
"237","2020-07","clay",104,3
"238","2020-07","cleburne",178,3
"239","2020-07","cleveland",63,1
"240","2020-07","columbia",184,6
"241","2020-07","conway",134,1
"242","2020-07","craighead",1088,26
"243","2020-07","crawford",514,19
"244","2020-07","crittenden",1172,37
"245","2020-07","cross",157,1
"246","2020-07","dallas",56,1
"247","2020-07","desha",142,4
"248","2020-07","drew",155,3
"249","2020-07","faulkner",1175,17
"250","2020-07","franklin",104,3
"251","2020-07","fulton",27,1
"252","2020-07","garland",814,28
"253","2020-07","grant",124,2
"254","2020-07","greene",293,13
"255","2020-07","hempstead",200,8
"256","2020-07","hotspring",1436,7
"257","2020-07","howard",291,4
"258","2020-07","independence",331,32
"259","2020-07","izard",43,5
"260","2020-07","jackson",57,1
"261","2020-07","jefferson",1293,23
"262","2020-07","johnson",612,6
"263","2020-07","lafayette",48,1
"264","2020-07","lawrence",179,6
"265","2020-07","lee",882,3
"266","2020-07","lincoln",1165,4
"267","2020-07","little_river",149,4
"268","2020-07","logan",139,5
"269","2020-07","lonoke",405,12
"270","2020-07","madison",253,7
"271","2020-07","marion",23,1
"272","2020-07","miller",451,9
"273","2020-07","mississippi",677,29
"274","2020-07","monroe",49,1
"275","2020-07","montgomery",25,1
"276","2020-07","nevada",129,1
"277","2020-07","newton",91,2
"278","2020-07","ouachita",75,1
"279","2020-07","perry",49,1
"280","2020-07","phillips",270,5
"281","2020-07","pike",77,8
"282","2020-07","poinsett",151,10
"283","2020-07","polk",125,1
"284","2020-07","pope",1161,11
"285","2020-07","prairie",59,2
"286","2020-07","pulaski",4733,79
"287","2020-07","randolph",164,9
"288","2020-07","saline",855,28
"289","2020-07","scott",41,6
"290","2020-07","searcy",25,2
"291","2020-07","sebastian",1689,88
"292","2020-07","sevier",929,2
"293","2020-07","sharp",99,2
"294","2020-07","st.francis",1112,8
"295","2020-07","stone",52,2
"296","2020-07","union",428,32
"297","2020-07","van_buren",50,1
"298","2020-07","washington",5896,41
"299","2020-07","white",250,7
"300","2020-07","woodruff",18,2
"301","2020-07","yell",1004,13
"302","2020-08","arkansas_county",283,1
"303","2020-08","ashley",388,1
"304","2020-08","baxter",138,1
"305","2020-08","benton",5364,30
"306","2020-08","boone",365,9
"307","2020-08","bradley",295,6
"308","2020-08","calhoun",24,1
"309","2020-08","carroll",469,4
"310","2020-08","chicot",962,4
"311","2020-08","clark",233,4
"312","2020-08","clay",182,2
"313","2020-08","cleburne",259,1
"314","2020-08","cleveland",136,1
"315","2020-08","columbia",295,2
"316","2020-08","conway",206,4
"317","2020-08","craighead",1869,18
"318","2020-08","crawford",921,5
"319","2020-08","crittenden",1643,2
"320","2020-08","cross",279,4
"321","2020-08","dallas",127,12
"322","2020-08","desha",243,4
"323","2020-08","drew",304,1
"324","2020-08","faulkner",1693,14
"325","2020-08","franklin",166,4
"326","2020-08","fulton",70,1
"327","2020-08","garland",1428,21
"328","2020-08","grant",192,9
"329","2020-08","greene",634,2
"330","2020-08","hempstead",330,1
"331","2020-08","hotspring",1717,4
"332","2020-08","howard",425,2
"333","2020-08","independence",765,5
"334","2020-08","izard",102,4
"335","2020-08","jackson",183,1
"336","2020-08","jefferson",2104,13
"337","2020-08","johnson",765,11
"338","2020-08","lafayette",68,2
"339","2020-08","lawrence",249,1
"340","2020-08","lee",1003,1
"341","2020-08","lincoln",1604,4
"342","2020-08","little_river",281,3
"343","2020-08","logan",365,1
"344","2020-08","lonoke",726,9
"345","2020-08","madison",296,1
"346","2020-08","marion",45,1
"347","2020-08","miller",602,1
"348","2020-08","mississippi",1349,4
"349","2020-08","monroe",94,2
"350","2020-08","montgomery",101,5
"351","2020-08","nevada",162,1
"352","2020-08","newton",120,3
"353","2020-08","ouachita",158,1
"354","2020-08","perry",63,1
"355","2020-08","phillips",405,1
"356","2020-08","pike",176,2
"357","2020-08","poinsett",489,3
"358","2020-08","polk",224,1
"359","2020-08","pope",1774,42
"360","2020-08","prairie",115,1
"361","2020-08","pulaski",7072,48
"362","2020-08","randolph",311,2
"363","2020-08","saline",1576,9
"364","2020-08","scott",86,2
"365","2020-08","searcy",100,5
"366","2020-08","sebastian",2877,15
"367","2020-08","sevier",1157,4
"368","2020-08","sharp",149,4
"369","2020-08","st.francis",1345,1
"370","2020-08","stone",194,3
"371","2020-08","union",691,1
"372","2020-08","van_buren",118,2
"373","2020-08","washington",6900,17
"374","2020-08","white",528,4
"375","2020-08","woodruff",27,1
"376","2020-08","yell",1162,19
"377","2020-09","arkansas_county",426,9
"378","2020-09","ashley",436,1
"379","2020-09","baxter",366,9
"380","2020-09","benton",6699,64
"381","2020-09","boone",752,16
"382","2020-09","bradley",342,2
"383","2020-09","calhoun",36,1
"384","2020-09","carroll",710,22
"385","2020-09","chicot",1007,1
"386","2020-09","clark",357,7
"387","2020-09","clay",314,10
"388","2020-09","cleburne",338,4
"389","2020-09","cleveland",186,1
"390","2020-09","columbia",500,20
"391","2020-09","conway",273,1
"392","2020-09","craighead",3076,61
"393","2020-09","crawford",1465,29
"394","2020-09","crittenden",1970,11
"395","2020-09","cross",453,7
"396","2020-09","dallas",166,3
"397","2020-09","desha",300,3
"398","2020-09","drew",359,2
"399","2020-09","faulkner",2566,35
"400","2020-09","franklin",293,7
"401","2020-09","fulton",177,8
"402","2020-09","garland",1949,19
"403","2020-09","grant",272,1
"404","2020-09","greene",909,15
"405","2020-09","hempstead",382,6
"406","2020-09","hotspring",1921,4
"407","2020-09","howard",485,3
"408","2020-09","independence",1148,32
"409","2020-09","izard",253,1
"410","2020-09","jackson",359,24
"411","2020-09","jefferson",3393,24
"412","2020-09","johnson",859,6
"413","2020-09","lafayette",117,3
"414","2020-09","lawrence",461,12
"415","2020-09","lee",1065,2
"416","2020-09","lincoln",2025,5
"417","2020-09","little_river",362,3
"418","2020-09","logan",421,6
"419","2020-09","lonoke",1230,20
"420","2020-09","madison",365,8
"421","2020-09","marion",102,3
"422","2020-09","miller",857,16
"423","2020-09","mississippi",1708,14
"424","2020-09","monroe",135,1
"425","2020-09","montgomery",155,1
"426","2020-09","nevada",224,1
"427","2020-09","newton",248,4
"428","2020-09","ouachita",269,5
"429","2020-09","perry",89,1
"430","2020-09","phillips",515,6
"431","2020-09","pike",234,3
"432","2020-09","poinsett",675,12
"433","2020-09","polk",268,2
"434","2020-09","pope",2166,13
"435","2020-09","prairie",154,4
"436","2020-09","pulaski",9509,87
"437","2020-09","randolph",442,12
"438","2020-09","saline",2130,14
"439","2020-09","scott",106,5
"440","2020-09","searcy",148,2
"441","2020-09","sebastian",3812,33
"442","2020-09","sevier",1207,1
"443","2020-09","sharp",239,11
"444","2020-09","st.francis",1542,23
"445","2020-09","stone",365,4
"446","2020-09","union",911,10
"447","2020-09","van_buren",176,2
"448","2020-09","washington",9645,96
"449","2020-09","white",898,32
"450","2020-09","woodruff",55,1
"451","2020-09","yell",1259,1
"452","2020-10","arkansas",606,-98991
"453","2020-10","arkansas_county",709,9
"454","2020-10","ashley",563,4
"455","2020-10","baxter",749,37
"456","2020-10","benton",8509,68
"457","2020-10","boone",1088,12
"458","2020-10","bradley",373,2
"459","2020-10","calhoun",57,3
"460","2020-10","carroll",1039,11
"461","2020-10","chicot",1055,1
"462","2020-10","clark",520,9
"463","2020-10","clay",510,11
"464","2020-10","cleburne",475,5
"465","2020-10","cleveland",254,5
"466","2020-10","columbia",745,14
"467","2020-10","conway",359,6
"468","2020-10","craighead",4821,122
"469","2020-10","crawford",2148,29
"470","2020-10","crittenden",2513,46
"471","2020-10","cross",612,9
"472","2020-10","dallas",181,1
"473","2020-10","desha",424,3
"474","2020-10","drew",440,5
"475","2020-10","faulkner",3500,34
"476","2020-10","franklin",569,18
"477","2020-10","fulton",343,7
"478","2020-10","garland",2620,15
"479","2020-10","grant",379,4
"480","2020-10","greene",1628,33
"481","2020-10","hempstead",584,5
"482","2020-10","hotspring",2275,30
"483","2020-10","howard",617,5
"484","2020-10","independence",1493,13
"485","2020-10","izard",621,2
"486","2020-10","jackson",899,87
"487","2020-10","jefferson",4289,19
"488","2020-10","johnson",1055,7
"489","2020-10","lafayette",192,2
"490","2020-10","lawrence",873,14
"491","2020-10","lee",1113,2
"492","2020-10","lincoln",2335,2
"493","2020-10","little_river",478,2
"494","2020-10","logan",611,8
"495","2020-10","lonoke",1865,25
"496","2020-10","madison",442,8
"497","2020-10","marion",176,7
"498","2020-10","miller",1583,51
"499","2020-10","mississippi",2391,40
"500","2020-10","monroe",227,7
"501","2020-10","montgomery",186,2
"502","2020-10","nevada",331,7
"503","2020-10","newton",322,3
"504","2020-10","ouachita",395,1
"505","2020-10","perry",150,5
"506","2020-10","phillips",777,5
"507","2020-10","pike",274,4
"508","2020-10","poinsett",1166,17
"509","2020-10","polk",370,5
"510","2020-10","pope",2811,11
"511","2020-10","prairie",240,1
"512","2020-10","pulaski",12350,107
"513","2020-10","randolph",686,12
"514","2020-10","saline",3014,49
"515","2020-10","scott",232,4
"516","2020-10","searcy",208,3
"517","2020-10","sebastian",5045,73
"518","2020-10","sevier",1394,15
"519","2020-10","sharp",379,2
"520","2020-10","st.francis",1785,6
"521","2020-10","stone",408,3
"522","2020-10","union",1161,11
"523","2020-10","van_buren",215,2
"524","2020-10","washington",11804,87
"525","2020-10","white",1580,29
"526","2020-10","woodruff",131,3
"527","2020-10","yell",1363,9
"528","2020-11","arkansas_county",960,1
"529","2020-11","ashley",860,5
